site_index	x	y
1	0	-7
2	-3	-6
3	-2	-6
4	-1	-6
5	0	-6
6	1	-6
7	2	-6
8	3	-6
9	-4	-5
10	-3	-5
11	-2	-5
12	-1	-5
13	0	-5
14	1	-5
15	2	-5
16	3	-5
17	4	-5
18	-5	-4
19	-4	-4
20	-3	-4
21	-2	-4
22	-1	-4
23	0	-4
24	1	-4
25	2	-4
26	3	-4
27	4	-4
28	5	-4
29	-6	-3
30	-5	-3
31	-4	-3
32	-3	-3
33	-2	-3
34	-1	-3
35	0	-3
36	1	-3
37	2	-3
38	3	-3
39	4	-3
40	5	-3
41	6	-3
42	-6	-2
43	-5	-2
44	-4	-2
45	-3	-2
46	-2	-2
47	-1	-2
48	0	-2
49	1	-2
50	2	-2
51	3	-2
52	4	-2
53	5	-2
54	6	-2
55	-6	-1
56	-5	-1
57	-4	-1
58	-3	-1
59	-2	-1
60	-1	-1
61	0	-1
62	1	-1
63	2	-1
64	3	-1
65	4	-1
66	5	-1
67	6	-1
68	-7	0
69	-6	0
70	-5	0
71	-4	0
72	-3	0
73	-2	0
74	-1	0
75	0	0
76	1	0
77	2	0
78	3	0
79	4	0
80	5	0
81	6	0
82	7	0
83	-6	1
84	-5	1
85	-4	1
86	-3	1
87	-2	1
88	-1	1
89	0	1
90	1	1
91	2	1
92	3	1
93	4	1
94	5	1
95	6	1
96	-6	2
97	-5	2
98	-4	2
99	-3	2
100	-2	2
101	-1	2
102	0	2
103	1	2
104	2	2
105	3	2
106	4	2
107	5	2
108	6	2
109	-6	3
110	-5	3
111	-4	3
112	-3	3
113	-2	3
114	-1	3
115	0	3
116	1	3
117	2	3
118	3	3
119	4	3
120	5	3
121	6	3
122	-5	4
123	-4	4
124	-3	4
125	-2	4
126	-1	4
127	0	4
128	1	4
129	2	4
130	3	4
131	4	4
132	5	4
133	-4	5
134	-3	5
135	-2	5
136	-1	5
137	0	5
138	1	5
139	2	5
140	3	5
141	4	5
142	-3	6
143	-2	6
144	-1	6
145	0	6
146	1	6
147	2	6
148	3	6
149	0	7
