site_index	x	y
1	0	-8
2	-3	-7
3	-2	-7
4	-1	-7
5	0	-7
6	1	-7
7	2	-7
8	3	-7
9	-5	-6
10	-4	-6
11	-3	-6
12	-2	-6
13	-1	-6
14	0	-6
15	1	-6
16	2	-6
17	3	-6
18	4	-6
19	5	-6
20	-6	-5
21	-5	-5
22	-4	-5
23	-3	-5
24	-2	-5
25	-1	-5
26	0	-5
27	1	-5
28	2	-5
29	3	-5
30	4	-5
31	5	-5
32	6	-5
33	-6	-4
34	-5	-4
35	-4	-4
36	-3	-4
37	-2	-4
38	-1	-4
39	0	-4
40	1	-4
41	2	-4
42	3	-4
43	4	-4
44	5	-4
45	6	-4
46	-7	-3
47	-6	-3
48	-5	-3
49	-4	-3
50	-3	-3
51	-2	-3
52	-1	-3
53	0	-3
54	1	-3
55	2	-3
56	3	-3
57	4	-3
58	5	-3
59	6	-3
60	7	-3
61	-7	-2
62	-6	-2
63	-5	-2
64	-4	-2
65	-3	-2
66	-2	-2
67	-1	-2
68	0	-2
69	1	-2
70	2	-2
71	3	-2
72	4	-2
73	5	-2
74	6	-2
75	7	-2
76	-7	-1
77	-6	-1
78	-5	-1
79	-4	-1
80	-3	-1
81	-2	-1
82	-1	-1
83	0	-1
84	1	-1
85	2	-1
86	3	-1
87	4	-1
88	5	-1
89	6	-1
90	7	-1
91	-8	0
92	-7	0
93	-6	0
94	-5	0
95	-4	0
96	-3	0
97	-2	0
98	-1	0
99	0	0
100	1	0
101	2	0
102	3	0
103	4	0
104	5	0
105	6	0
106	7	0
107	8	0
108	-7	1
109	-6	1
110	-5	1
111	-4	1
112	-3	1
113	-2	1
114	-1	1
115	0	1
116	1	1
117	2	1
118	3	1
119	4	1
120	5	1
121	6	1
122	7	1
123	-7	2
124	-6	2
125	-5	2
126	-4	2
127	-3	2
128	-2	2
129	-1	2
130	0	2
131	1	2
132	2	2
133	3	2
134	4	2
135	5	2
136	6	2
137	7	2
138	-7	3
139	-6	3
140	-5	3
141	-4	3
142	-3	3
143	-2	3
144	-1	3
145	0	3
146	1	3
147	2	3
148	3	3
149	4	3
150	5	3
151	6	3
152	7	3
153	-6	4
154	-5	4
155	-4	4
156	-3	4
157	-2	4
158	-1	4
159	0	4
160	1	4
161	2	4
162	3	4
163	4	4
164	5	4
165	6	4
166	-6	5
167	-5	5
168	-4	5
169	-3	5
170	-2	5
171	-1	5
172	0	5
173	1	5
174	2	5
175	3	5
176	4	5
177	5	5
178	6	5
179	-5	6
180	-4	6
181	-3	6
182	-2	6
183	-1	6
184	0	6
185	1	6
186	2	6
187	3	6
188	4	6
189	5	6
190	-3	7
191	-2	7
192	-1	7
193	0	7
194	1	7
195	2	7
196	3	7
197	0	8
