beta	nup	ndn	multiplicity	logz_sector	normalized_weight
0.5	0.0	36.0	2.0	0.0	7.625370712902336e-18
0.5	1.0	35.0	2.0	-6832.635519675152	0.0
0.5	2.0	34.0	2.0	11.089288443033565	4.992036373808446e-13
0.5	3.0	33.0	2.0	15.156172562060217	2.914090751316933e-11
0.5	4.0	32.0	2.0	18.749650896019055	1.0595730017932505e-9
0.5	5.0	31.0	2.0	21.793074371896754	2.222659343287819e-8
0.5	6.0	30.0	2.0	24.507398532588198	3.354972081910594e-7
0.5	7.0	29.0	2.0	26.947788919160224	3.850676097525078e-6
0.5	8.0	28.0	2.0	29.076242652246616	3.235286163831742e-5
0.5	9.0	27.0	2.0	30.920247692338258	0.00020452853798732322
0.5	10.0	26.0	2.0	32.50021163505379	0.0009929412106562767
0.5	11.0	25.0	2.0	33.9260831297621	0.004132107941609626
0.5	12.0	24.0	2.0	35.13870845318553	0.01389338736315361
0.5	13.0	23.0	2.0	36.122904738699006	0.03717398851321223
0.5	14.0	22.0	2.0	36.95030573236397	0.08503052220933453
0.5	15.0	21.0	2.0	37.51188476876985	0.14909583889858058
0.5	16.0	20.0	2.0	37.97011492013045	0.23576120855307
0.5	17.0	19.0	2.0	38.2304031312973	0.3058539424610411
0.5	18.0	18.0	1.0	38.323364238823025	0.16782497196060425
