beta	nup	ndn	kinetic_per_particle	kinetic_stderr	potential_per_particle	potential_stderr	total_per_particle	total_stderr	time_slices	nsamples	batches
1.2	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	1.0
1.2	1.0	35.0	-387074.41617825965	26449.554852677797	421001.07600388327	21948.277376578197	33926.65982562364	9394.001800885111	12.0	128.0	2.0
1.2	2.0	34.0	-0.29597134481056314	0.005220161920151075	0.15449150689904284	0.0025255012054184096	-0.14147983791152033	0.0033855299065262486	12.0	128.0	2.0
1.2	3.0	33.0	-0.4118033443340072	0.005778554629960271	0.21443504469683172	0.0028991930498117125	-0.1973682996371755	0.003789954727365083	12.0	128.0	2.0
1.2	4.0	32.0	-0.5201273873657144	0.006529158277694876	0.2652172132366449	0.003379228428654159	-0.25491017412906936	0.004182376151549998	12.0	128.0	2.0
1.2	5.0	31.0	-0.6230890119701233	0.00761628373948099	0.3118351478434003	0.004301269483882161	-0.31125386412672307	0.0046544977663163815	12.0	128.0	2.0
1.2	6.0	30.0	-0.7207072098770745	0.00899855604424717	0.35313078445565005	0.004518019186925179	-0.36757642542142427	0.005807270830930244	12.0	128.0	2.0
1.2	7.0	29.0	-0.7883938335169958	0.008124988986053688	0.38139645560137736	0.0040533728924807815	-0.4069973779156183	0.0054084529004335335	12.0	128.0	2.0
1.2	8.0	28.0	-0.8558924696462383	0.010189115621264998	0.412035960183482	0.004728960782118577	-0.44385650946275623	0.006509813556136827	12.0	128.0	2.0
1.2	9.0	27.0	-0.9249147037016817	0.010100589515905726	0.44345021734573586	0.004911747801770983	-0.4814644863559457	0.006746998088513678	12.0	128.0	2.0
1.2	10.0	26.0	-0.9896278904959807	0.009594498384424655	0.4732202612232266	0.004679703457546528	-0.5164076292727541	0.006289709922416471	12.0	128.0	2.0
1.2	11.0	25.0	-1.0008464920978402	0.008842739230924183	0.4752035588068131	0.005217568536292151	-0.5256429332910272	0.005107521239667642	12.0	128.0	2.0
1.2	12.0	24.0	-1.0568620525257468	0.010465668842363248	0.5034542733995363	0.005312657126109101	-0.5534077791262104	0.006691027455980943	12.0	128.0	2.0
1.2	13.0	23.0	-1.0777782173702308	0.010584420155541292	0.5124865089463315	0.005340693410904393	-0.5652917084238993	0.0069415911469087165	12.0	128.0	2.0
1.2	14.0	22.0	-1.0774854827602343	0.009864170166494875	0.5113136299745693	0.004690551873308279	-0.5661718527856648	0.006699143194037533	12.0	128.0	2.0
1.2	15.0	21.0	-1.1155867962327506	0.011814461816294522	0.5240628901593748	0.0057775810768318225	-0.5915239060733756	0.007522019429984782	12.0	128.0	2.0
1.2	16.0	20.0	-1.1041639332759117	0.009714383562682699	0.5238827689770214	0.005423441905516601	-0.5802811642988904	0.0061280496929551585	12.0	128.0	2.0
1.2	17.0	19.0	-1.1247144505999827	0.010097821103727722	0.5329493719637549	0.005499368791482696	-0.5917650786362277	0.006717542694708218	12.0	128.0	2.0
1.2	18.0	18.0	-1.145309931714992	0.011058078843328564	0.5384686439735571	0.005498209136653677	-0.606841287741435	0.00702344787366372	12.0	128.0	2.0
