beta	nup	ndn	batch	seed	nsamples	kinetic	kinetic_stderr	potential	potential_stderr	total	total_stderr	time_slices
2.4	0.0	36.0	0.0	1234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0
2.4	1.0	35.0	1.0	3234.0	16.0	-6.288690075255147e10	1.318376539348827e10	5.7036974783146225e10	1.0992429858386833e10	-5.84992596940524e9	2.499413214813603e9	24.0
2.4	2.0	34.0	1.0	4234.0	16.0	-0.3375163008945348	0.01854738425456976	0.14270657190061004	0.009372905144860952	-0.1948097289939248	0.012221197088648111	24.0
2.4	3.0	33.0	1.0	5234.0	16.0	-0.4380229039678475	0.022774865233736997	0.1828745454522223	0.011454054517167696	-0.25514835851562523	0.014229371296827718	24.0
2.4	4.0	32.0	1.0	6234.0	16.0	-0.6091835943653754	0.027077219696234243	0.26677577121472384	0.01083381846571564	-0.34240782315065155	0.018160541055074274	24.0
2.4	5.0	31.0	1.0	7234.0	16.0	-0.7400647746747337	0.033415346610245214	0.3187630672589511	0.015390455429163999	-0.42130170741578254	0.023686973723262762	24.0
2.4	6.0	30.0	1.0	8234.0	16.0	-0.8399670810924099	0.030480890745369697	0.37498102029224145	0.013997422138487469	-0.46498606080016847	0.021148678418690853	24.0
2.4	7.0	29.0	1.0	9234.0	16.0	-0.9375101954325127	0.03391976482948662	0.40345363501528936	0.01137249453961721	-0.5340565604172234	0.025905538677828913	24.0
2.4	8.0	28.0	1.0	10234.0	16.0	-0.9630396700505313	0.031704366706415445	0.40088623955465225	0.015410434082477545	-0.5621534304958791	0.021701219837382234	24.0
2.4	9.0	27.0	1.0	11234.0	16.0	-1.0612457124532328	0.0320891554885812	0.4427575232439879	0.012542986370704634	-0.618488189209245	0.023539309935415854	24.0
2.4	10.0	26.0	1.0	12234.0	16.0	-1.1503164549033982	0.031969985464413	0.4899250062184289	0.014553001021669707	-0.6603914486849694	0.020902615226351964	24.0
2.4	11.0	25.0	1.0	13234.0	16.0	-1.1856743435934778	0.03054178942367531	0.48932960359710265	0.013375118391770158	-0.6963447399963751	0.02222517269664542	24.0
2.4	12.0	24.0	1.0	14234.0	16.0	-1.2203283708101376	0.024824372554603038	0.5178292524031657	0.012001060465872222	-0.7024991184069718	0.019639822851026785	24.0
2.4	13.0	23.0	1.0	15234.0	16.0	-1.1760006546454083	0.036615285758146814	0.46554352912414576	0.020456901464123888	-0.7104571255212626	0.024008358949028294	24.0
2.4	14.0	22.0	1.0	16234.0	16.0	-1.2120536823796657	0.04815806023568848	0.49181021850813067	0.019602639738229916	-0.7202434638715352	0.03267573280671572	24.0
2.4	15.0	21.0	1.0	17234.0	16.0	-1.3014427601211493	0.02481024696410076	0.5637737635715725	0.015595186136937925	-0.7376689965495768	0.015603152946508802	24.0
2.4	16.0	20.0	1.0	18234.0	16.0	-1.2722074476618015	0.027781426053458305	0.5129838869360768	0.01546798578558104	-0.7592235607257248	0.022258774391751827	24.0
2.4	17.0	19.0	1.0	19234.0	16.0	-1.250270871145732	0.03102437012006739	0.5448670352477392	0.010879282968491107	-0.7054038358979928	0.023998995688757692	24.0
2.4	18.0	18.0	1.0	20234.0	16.0	-1.2763023202227108	0.043831172826254136	0.5217422621661525	0.015548440361394886	-0.7545600580565582	0.03281586500849694	24.0
