beta	nup	ndn	multiplicity	logz_sector	normalized_weight
2.4	0.0	36.0	2.0	0.0	0.0
2.4	1.0	35.0	2.0	2.5271680188080673e11	1.0
2.4	2.0	34.0	2.0	12.240553264642042	0.0
2.4	3.0	33.0	2.0	15.56934519854227	0.0
2.4	4.0	32.0	2.0	19.692713804801922	0.0
2.4	5.0	31.0	2.0	23.213525585786833	0.0
2.4	6.0	30.0	2.0	25.051811789173147	0.0
2.4	7.0	29.0	2.0	27.879565171176942	0.0
2.4	8.0	28.0	2.0	28.869058535188145	0.0
2.4	9.0	27.0	2.0	31.03934664395019	0.0
2.4	10.0	26.0	2.0	32.56940433265538	0.0
2.4	11.0	25.0	2.0	33.84298904775433	0.0
2.4	12.0	24.0	2.0	33.84346321191918	0.0
2.4	13.0	23.0	2.0	33.94679139836269	0.0
2.4	14.0	22.0	2.0	34.16243498772225	0.0
2.4	15.0	21.0	2.0	34.74786917059252	0.0
2.4	16.0	20.0	2.0	35.55622710730273	0.0
2.4	17.0	19.0	2.0	33.15625285374027	0.0
2.4	18.0	18.0	1.0	35.254602760197514	0.0
