beta	nup	ndn	multiplicity	logz_sector	normalized_weight
0.5	0.0	36.0	2.0	0.0	8.138488230109019e-18
0.5	1.0	35.0	2.0	-11575.737948418364	0.0
0.5	2.0	34.0	2.0	11.168739651268998	5.768537763971581e-13
0.5	3.0	33.0	2.0	15.10515493010084	2.955487821915564e-11
0.5	4.0	32.0	2.0	18.747353128083887	1.1282770479312052e-9
0.5	5.0	31.0	2.0	21.816685973131797	2.428902440738541e-8
0.5	6.0	30.0	2.0	24.483200007051373	3.4951225021778823e-7
0.5	7.0	29.0	2.0	27.00773386521523	4.3636863398926244e-6
0.5	8.0	28.0	2.0	28.849511942659724	2.752501612337207e-5
0.5	9.0	27.0	2.0	30.964709076772948	0.00022821596658654692
0.5	10.0	26.0	2.0	32.44645793812439	0.0010042951828322366
0.5	11.0	25.0	2.0	33.99453970971386	0.004722639013834478
0.5	12.0	24.0	2.0	35.39556704489972	0.019170930430492804
0.5	13.0	23.0	2.0	36.26381616748267	0.04567925308665031
0.5	14.0	22.0	2.0	37.19943990212391	0.11642740536466109
0.5	15.0	21.0	2.0	37.379344844480585	0.13937566189412054
0.5	16.0	20.0	2.0	37.98731787160056	0.255991929435283
0.5	17.0	19.0	2.0	38.04878432906341	0.27222049350757216
0.5	18.0	18.0	1.0	38.113065552662476	0.14514691245582018
