beta	nup	ndn	multiplicity	logz_sector	normalized_weight
1.2	0.0	36.0	2.0	0.0	2.2692379028998694e-17
1.2	1.0	35.0	2.0	-732811.018528927	0.0
1.2	2.0	34.0	2.0	11.414070804326663	2.0556444276501983e-12
1.2	3.0	33.0	2.0	15.41009138283025	1.1178864244254207e-10
1.2	4.0	32.0	2.0	18.940088939215006	3.814662692827354e-9
1.2	5.0	31.0	2.0	22.06970862389558	8.72233377167196e-8
1.2	6.0	30.0	2.0	24.904064751708635	1.4844922258163835e-6
1.2	7.0	29.0	2.0	27.13279845746358	1.378810803498105e-5
1.2	8.0	28.0	2.0	29.104664275495036	9.905470785398568e-5
1.2	9.0	27.0	2.0	30.920289775399237	0.0006086831188495566
1.2	10.0	26.0	2.0	32.528231875089524	0.0030388666174740917
1.2	11.0	25.0	2.0	33.448116972330446	0.007624522670500611
1.2	12.0	24.0	2.0	34.649109325864146	0.025339439956322648
1.2	13.0	23.0	2.0	35.3986778111337	0.05362045180077057
1.2	14.0	22.0	2.0	35.81056270197563	0.0809486861488888
1.2	15.0	21.0	2.0	36.65748489083572	0.1888093240687214
1.2	16.0	20.0	2.0	36.625175766140785	0.18280655436291024
1.2	17.0	19.0	2.0	36.99826617482283	0.2654745349270645
1.2	18.0	18.0	1.0	37.36538006736919	0.19161451786853798
