beta	nup	ndn	kinetic_per_particle	kinetic_stderr	potential_per_particle	potential_stderr	total_per_particle	total_stderr	time_slices	nsamples	batches
2.4	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	1.0
2.4	1.0	35.0	-6.664988460659215e10	7.041707318391263e9	6.1790454816221756e10	5.740076430337976e9	-4.859429790370379e9	1.8597146938080528e9	24.0	128.0	2.0
2.4	2.0	34.0	-0.3349847067526729	0.005008948773337386	0.15413855770902063	0.002458532078367102	-0.1808461490436524	0.003255478280520074	24.0	128.0	2.0
2.4	3.0	33.0	-0.4827179074886695	0.007837686519816086	0.21394040321247876	0.003666747450410166	-0.26877750427619074	0.005056319359629101	24.0	128.0	2.0
2.4	4.0	32.0	-0.5917758301161389	0.008445640281350036	0.2596264672961881	0.003711719330813762	-0.3321493628199507	0.005893543989693631	24.0	128.0	2.0
2.4	5.0	31.0	-0.7348444888914047	0.008595094416216958	0.3151960346778939	0.004154277780023151	-0.4196484542135107	0.005650874159089369	24.0	128.0	2.0
2.4	6.0	30.0	-0.8228752985997215	0.009794929592379997	0.3555260280208973	0.004049987839556531	-0.4673492705788243	0.00694737171438584	24.0	128.0	2.0
2.4	7.0	29.0	-0.9255645390190907	0.00931170278466388	0.3997556377189708	0.004308048616882854	-0.5258089013001198	0.00650294530674395	24.0	128.0	2.0
2.4	8.0	28.0	-1.0117905141688894	0.01174588357995845	0.43028422045543513	0.005102393725376119	-0.5815062937134542	0.008072761452903948	24.0	128.0	2.0
2.4	9.0	27.0	-1.0807612455434794	0.011040428607814026	0.459987654726354	0.004678687411824021	-0.6207735908171258	0.007779167668241765	24.0	128.0	2.0
2.4	10.0	26.0	-1.1395552015397605	0.012349638977856918	0.4762868380807467	0.005593052630619707	-0.6632683634590139	0.00864249941357126	24.0	128.0	2.0
2.4	11.0	25.0	-1.18332279191263	0.011614170806781407	0.492145759181849	0.004839107570273191	-0.6911770327307808	0.008110126270356547	24.0	128.0	2.0
2.4	12.0	24.0	-1.2103162961252032	0.011734322298891644	0.5022608346172257	0.005281666424003633	-0.7080554615079773	0.008080309454834627	24.0	128.0	2.0
2.4	13.0	23.0	-1.2415698098937997	0.012141580198677804	0.5205117451589288	0.005288089627913887	-0.7210580647348712	0.00889021936402781	24.0	128.0	2.0
2.4	14.0	22.0	-1.2457565220628317	0.011369992574007887	0.5231391245455631	0.005447039971322221	-0.7226173975172687	0.007850298449257893	24.0	128.0	2.0
2.4	15.0	21.0	-1.2435609306858142	0.013079670147625282	0.5162141004268614	0.006463567154692272	-0.7273468302589531	0.008415699457114687	24.0	128.0	2.0
2.4	16.0	20.0	-1.282992974169725	0.013637209010793624	0.5360879849590504	0.005842173700616112	-0.7469049892106747	0.00985144521276424	24.0	128.0	2.0
2.4	17.0	19.0	-1.2927065216748568	0.011283920682045194	0.5392601838961463	0.005441126982999366	-0.7534463377787106	0.007747704720606775	24.0	128.0	2.0
2.4	18.0	18.0	-1.285593201036164	0.013789850198392932	0.5332259456129299	0.006576733690246923	-0.7523672554232339	0.009217060792298627	24.0	128.0	2.0
