beta	batch	seed	nsamples	kinetic	kinetic_stderr	potential	potential_stderr	total	total_stderr	time_slices
0.5	1.0	2234.0	256.0	-0.7905041725112233	0.003702785927326619	0.6314270377163445	0.0031044518171856796	-0.1590771347948787	0.0018256358207342463	5.0
1.2	1.0	3234.0	256.0	-1.1436441794303434	0.007723003089646133	0.5439223759860021	0.0037614988104642216	-0.5997218034443411	0.004997827109658708	12.0
1.2	2.0	3235.0	512.0	-1.1470956689244693	0.0052802635073065955	0.542555687443625	0.002655900740844235	-0.6045399814808446	0.0034200550824479243	12.0
1.2	3.0	3236.0	768.0	-1.1415945037988484	0.004303598020160396	0.5393611816665025	0.0021369318265890168	-0.6022333221323456	0.0028480675321945524	12.0
2.4	1.0	4234.0	256.0	-1.2768937536136518	0.008682121229907558	0.5331053679495534	0.003992186724165747	-0.7437883856640988	0.006053140732707946	24.0
2.4	2.0	4235.0	512.0	-1.2758440569747573	0.0062119136984610645	0.531499254392953	0.0028886837472922346	-0.7443448025818042	0.004269423178406931	24.0
2.4	3.0	4236.0	768.0	-1.2803659176789755	0.005109598939508605	0.5336413252638031	0.0023528812125141966	-0.7467245924151724	0.003552944985171083	24.0
2.4	4.0	4237.0	1024.0	-1.2792864983995693	0.004278948910385434	0.5338361037189999	0.002005306895770608	-0.7454503946805695	0.0030024051791243075	24.0
2.4	5.0	4238.0	1280.0	-1.2803415557656492	0.003848586659667519	0.5330683712039961	0.0017858707392495376	-0.7472731845616535	0.002721360851778743	24.0
3.6	1.0	5234.0	256.0	-1.326262624271457	0.009540251336263756	0.5136585705352558	0.007880515891029146	-0.8126040537362014	0.009880092159109755	36.0
3.6	2.0	5235.0	512.0	-1.3325602738514783	0.006514037535155211	0.5204067104506871	0.004455377236361751	-0.8121535634007914	0.005912153029425658	36.0
3.6	3.0	5236.0	768.0	-1.3322717809490572	0.0052753610744752525	0.5227117743794377	0.003265349656475187	-0.8095600065696194	0.004516877429121686	36.0
3.6	4.0	5237.0	1024.0	-1.3304464946678922	0.004626431411749396	0.5228049329814449	0.002649118981926851	-0.8076415616864475	0.003819485419153083	36.0
3.6	5.0	5238.0	1280.0	-1.3282933928250193	0.004162715288591977	0.5220812251144613	0.0023080064552531724	-0.806212167710558	0.003355274067354518	36.0
3.6	6.0	5239.0	1536.0	-1.3247813577762564	0.0037783139563502596	0.522021655091732	0.002059740334177449	-0.8027597026845243	0.0029997907961279383	36.0
5.0	1.0	6234.0	256.0	-1.3301889271926173	0.00927701503982576	0.5028785678574103	0.004295393400071563	-0.8273103593352067	0.006959621101516071	50.0
5.0	2.0	6235.0	512.0	-1.3428148646843925	0.006820970032810092	0.5011459052821194	0.0030659127159575845	-0.8416689594022732	0.005435266754617695	50.0
5.0	3.0	6236.0	768.0	-1.342288034949676	0.005467982648986844	0.5013011518221243	0.002463592961217914	-0.8409868831275517	0.004262276416286207	50.0
5.0	4.0	6237.0	1024.0	-1.3414541039245163	0.004662833239187316	0.5007719725940165	0.0027602595449007245	-0.8406821313304994	0.004117715971845867	50.0
