beta_digitized	energy_per_particle_digitized	x_px	y_px
0.499999	-0.136255	354.807	109.209
1.199997	-0.392958	466.692	547.944
2.399994	-0.584180	658.495	874.765
3.599991	-0.769658	850.298	1191.770
4.999999	-0.827787	1074.070	1291.120
5.999960	-0.842011	1233.900	1315.430
7.200001	-0.847166	1425.710	1324.240
8.399979	-0.848833	1617.510	1327.090
8.999968	-0.851993	1713.410	1332.490
9.999992	-0.852326	1873.250	1333.060
10.999953	-0.853959	2033.080	1335.850
11.999976	-0.854684	2192.920	1337.090
