level_index	eigenvalue
1	-3.804090447960
2	-3.514757667185
3	-3.514757667185
4	-3.186726506185
5	-3.113473225106
6	-3.040912965025
7	-2.738110686466
8	-2.738110686466
9	-2.509928704242
10	-2.509928704242
11	-2.295118806104
12	-2.236067977500
13	-2.033129911735
14	-1.928766249920
15	-1.880011339100
16	-1.776292871228
17	-1.776292871228
18	-1.449381598777
19	-1.449381598777
20	-1.394405746846
21	-1.278509058797
22	-1.278509058797
23	-1.120684287345
24	-1.000000000000
25	-0.865460455472
26	-0.801110381211
27	-0.791711154358
28	-0.791711154358
29	-0.674702649235
30	-0.659671799963
31	-0.543638252836
32	-0.473306119962
33	-0.473306119962
34	-0.328865135649
35	-0.328865135649
36	-0.000000000000
37	-0.000000000000
38	-0.000000000000
39	-0.000000000000
40	-0.000000000000
41	0.000000000000
42	0.000000000000
43	0.000000000000
44	0.000000000000
45	0.000000000000
46	0.000000000000
47	0.328865135649
48	0.328865135649
49	0.473306119962
50	0.473306119962
51	0.543638252836
52	0.659671799963
53	0.674702649235
54	0.791711154358
55	0.791711154358
56	0.801110381211
57	0.865460455472
58	1.000000000000
59	1.120684287345
60	1.278509058797
61	1.278509058797
62	1.394405746846
63	1.449381598777
64	1.449381598777
65	1.776292871228
66	1.776292871228
67	1.880011339100
68	1.928766249920
69	2.033129911735
70	2.236067977500
71	2.295118806104
72	2.509928704242
73	2.509928704242
74	2.738110686466
75	2.738110686466
76	3.040912965025
77	3.113473225106
78	3.186726506185
79	3.514757667185
80	3.514757667185
81	3.804090447960
