site_index	x	y
1	0	-9
2	-4	-8
3	-3	-8
4	-2	-8
5	-1	-8
6	0	-8
7	1	-8
8	2	-8
9	3	-8
10	4	-8
11	-5	-7
12	-4	-7
13	-3	-7
14	-2	-7
15	-1	-7
16	0	-7
17	1	-7
18	2	-7
19	3	-7
20	4	-7
21	5	-7
22	-6	-6
23	-5	-6
24	-4	-6
25	-3	-6
26	-2	-6
27	-1	-6
28	0	-6
29	1	-6
30	2	-6
31	3	-6
32	4	-6
33	5	-6
34	6	-6
35	-7	-5
36	-6	-5
37	-5	-5
38	-4	-5
39	-3	-5
40	-2	-5
41	-1	-5
42	0	-5
43	1	-5
44	2	-5
45	3	-5
46	4	-5
47	5	-5
48	6	-5
49	7	-5
50	-8	-4
51	-7	-4
52	-6	-4
53	-5	-4
54	-4	-4
55	-3	-4
56	-2	-4
57	-1	-4
58	0	-4
59	1	-4
60	2	-4
61	3	-4
62	4	-4
63	5	-4
64	6	-4
65	7	-4
66	8	-4
67	-8	-3
68	-7	-3
69	-6	-3
70	-5	-3
71	-4	-3
72	-3	-3
73	-2	-3
74	-1	-3
75	0	-3
76	1	-3
77	2	-3
78	3	-3
79	4	-3
80	5	-3
81	6	-3
82	7	-3
83	8	-3
84	-8	-2
85	-7	-2
86	-6	-2
87	-5	-2
88	-4	-2
89	-3	-2
90	-2	-2
91	-1	-2
92	0	-2
93	1	-2
94	2	-2
95	3	-2
96	4	-2
97	5	-2
98	6	-2
99	7	-2
100	8	-2
101	-8	-1
102	-7	-1
103	-6	-1
104	-5	-1
105	-4	-1
106	-3	-1
107	-2	-1
108	-1	-1
109	0	-1
110	1	-1
111	2	-1
112	3	-1
113	4	-1
114	5	-1
115	6	-1
116	7	-1
117	8	-1
118	-9	0
119	-8	0
120	-7	0
121	-6	0
122	-5	0
123	-4	0
124	-3	0
125	-2	0
126	-1	0
127	0	0
128	1	0
129	2	0
130	3	0
131	4	0
132	5	0
133	6	0
134	7	0
135	8	0
136	9	0
137	-8	1
138	-7	1
139	-6	1
140	-5	1
141	-4	1
142	-3	1
143	-2	1
144	-1	1
145	0	1
146	1	1
147	2	1
148	3	1
149	4	1
150	5	1
151	6	1
152	7	1
153	8	1
154	-8	2
155	-7	2
156	-6	2
157	-5	2
158	-4	2
159	-3	2
160	-2	2
161	-1	2
162	0	2
163	1	2
164	2	2
165	3	2
166	4	2
167	5	2
168	6	2
169	7	2
170	8	2
171	-8	3
172	-7	3
173	-6	3
174	-5	3
175	-4	3
176	-3	3
177	-2	3
178	-1	3
179	0	3
180	1	3
181	2	3
182	3	3
183	4	3
184	5	3
185	6	3
186	7	3
187	8	3
188	-8	4
189	-7	4
190	-6	4
191	-5	4
192	-4	4
193	-3	4
194	-2	4
195	-1	4
196	0	4
197	1	4
198	2	4
199	3	4
200	4	4
201	5	4
202	6	4
203	7	4
204	8	4
205	-7	5
206	-6	5
207	-5	5
208	-4	5
209	-3	5
210	-2	5
211	-1	5
212	0	5
213	1	5
214	2	5
215	3	5
216	4	5
217	5	5
218	6	5
219	7	5
220	-6	6
221	-5	6
222	-4	6
223	-3	6
224	-2	6
225	-1	6
226	0	6
227	1	6
228	2	6
229	3	6
230	4	6
231	5	6
232	6	6
233	-5	7
234	-4	7
235	-3	7
236	-2	7
237	-1	7
238	0	7
239	1	7
240	2	7
241	3	7
242	4	7
243	5	7
244	-4	8
245	-3	8
246	-2	8
247	-1	8
248	0	8
249	1	8
250	2	8
251	3	8
252	4	8
253	0	9
