site_index	x	y
1	0	-14
2	-5	-13
3	-4	-13
4	-3	-13
5	-2	-13
6	-1	-13
7	0	-13
8	1	-13
9	2	-13
10	3	-13
11	4	-13
12	5	-13
13	-7	-12
14	-6	-12
15	-5	-12
16	-4	-12
17	-3	-12
18	-2	-12
19	-1	-12
20	0	-12
21	1	-12
22	2	-12
23	3	-12
24	4	-12
25	5	-12
26	6	-12
27	7	-12
28	-8	-11
29	-7	-11
30	-6	-11
31	-5	-11
32	-4	-11
33	-3	-11
34	-2	-11
35	-1	-11
36	0	-11
37	1	-11
38	2	-11
39	3	-11
40	4	-11
41	5	-11
42	6	-11
43	7	-11
44	8	-11
45	-9	-10
46	-8	-10
47	-7	-10
48	-6	-10
49	-5	-10
50	-4	-10
51	-3	-10
52	-2	-10
53	-1	-10
54	0	-10
55	1	-10
56	2	-10
57	3	-10
58	4	-10
59	5	-10
60	6	-10
61	7	-10
62	8	-10
63	9	-10
64	-10	-9
65	-9	-9
66	-8	-9
67	-7	-9
68	-6	-9
69	-5	-9
70	-4	-9
71	-3	-9
72	-2	-9
73	-1	-9
74	0	-9
75	1	-9
76	2	-9
77	3	-9
78	4	-9
79	5	-9
80	6	-9
81	7	-9
82	8	-9
83	9	-9
84	10	-9
85	-11	-8
86	-10	-8
87	-9	-8
88	-8	-8
89	-7	-8
90	-6	-8
91	-5	-8
92	-4	-8
93	-3	-8
94	-2	-8
95	-1	-8
96	0	-8
97	1	-8
98	2	-8
99	3	-8
100	4	-8
101	5	-8
102	6	-8
103	7	-8
104	8	-8
105	9	-8
106	10	-8
107	11	-8
108	-12	-7
109	-11	-7
110	-10	-7
111	-9	-7
112	-8	-7
113	-7	-7
114	-6	-7
115	-5	-7
116	-4	-7
117	-3	-7
118	-2	-7
119	-1	-7
120	0	-7
121	1	-7
122	2	-7
123	3	-7
124	4	-7
125	5	-7
126	6	-7
127	7	-7
128	8	-7
129	9	-7
130	10	-7
131	11	-7
132	12	-7
133	-12	-6
134	-11	-6
135	-10	-6
136	-9	-6
137	-8	-6
138	-7	-6
139	-6	-6
140	-5	-6
141	-4	-6
142	-3	-6
143	-2	-6
144	-1	-6
145	0	-6
146	1	-6
147	2	-6
148	3	-6
149	4	-6
150	5	-6
151	6	-6
152	7	-6
153	8	-6
154	9	-6
155	10	-6
156	11	-6
157	12	-6
158	-13	-5
159	-12	-5
160	-11	-5
161	-10	-5
162	-9	-5
163	-8	-5
164	-7	-5
165	-6	-5
166	-5	-5
167	-4	-5
168	-3	-5
169	-2	-5
170	-1	-5
171	0	-5
172	1	-5
173	2	-5
174	3	-5
175	4	-5
176	5	-5
177	6	-5
178	7	-5
179	8	-5
180	9	-5
181	10	-5
182	11	-5
183	12	-5
184	13	-5
185	-13	-4
186	-12	-4
187	-11	-4
188	-10	-4
189	-9	-4
190	-8	-4
191	-7	-4
192	-6	-4
193	-5	-4
194	-4	-4
195	-3	-4
196	-2	-4
197	-1	-4
198	0	-4
199	1	-4
200	2	-4
201	3	-4
202	4	-4
203	5	-4
204	6	-4
205	7	-4
206	8	-4
207	9	-4
208	10	-4
209	11	-4
210	12	-4
211	13	-4
212	-13	-3
213	-12	-3
214	-11	-3
215	-10	-3
216	-9	-3
217	-8	-3
218	-7	-3
219	-6	-3
220	-5	-3
221	-4	-3
222	-3	-3
223	-2	-3
224	-1	-3
225	0	-3
226	1	-3
227	2	-3
228	3	-3
229	4	-3
230	5	-3
231	6	-3
232	7	-3
233	8	-3
234	9	-3
235	10	-3
236	11	-3
237	12	-3
238	13	-3
239	-13	-2
240	-12	-2
241	-11	-2
242	-10	-2
243	-9	-2
244	-8	-2
245	-7	-2
246	-6	-2
247	-5	-2
248	-4	-2
249	-3	-2
250	-2	-2
251	-1	-2
252	0	-2
253	1	-2
254	2	-2
255	3	-2
256	4	-2
257	5	-2
258	6	-2
259	7	-2
260	8	-2
261	9	-2
262	10	-2
263	11	-2
264	12	-2
265	13	-2
266	-13	-1
267	-12	-1
268	-11	-1
269	-10	-1
270	-9	-1
271	-8	-1
272	-7	-1
273	-6	-1
274	-5	-1
275	-4	-1
276	-3	-1
277	-2	-1
278	-1	-1
279	0	-1
280	1	-1
281	2	-1
282	3	-1
283	4	-1
284	5	-1
285	6	-1
286	7	-1
287	8	-1
288	9	-1
289	10	-1
290	11	-1
291	12	-1
292	13	-1
293	-14	0
294	-13	0
295	-12	0
296	-11	0
297	-10	0
298	-9	0
299	-8	0
300	-7	0
301	-6	0
302	-5	0
303	-4	0
304	-3	0
305	-2	0
306	-1	0
307	0	0
308	1	0
309	2	0
310	3	0
311	4	0
312	5	0
313	6	0
314	7	0
315	8	0
316	9	0
317	10	0
318	11	0
319	12	0
320	13	0
321	14	0
322	-13	1
323	-12	1
324	-11	1
325	-10	1
326	-9	1
327	-8	1
328	-7	1
329	-6	1
330	-5	1
331	-4	1
332	-3	1
333	-2	1
334	-1	1
335	0	1
336	1	1
337	2	1
338	3	1
339	4	1
340	5	1
341	6	1
342	7	1
343	8	1
344	9	1
345	10	1
346	11	1
347	12	1
348	13	1
349	-13	2
350	-12	2
351	-11	2
352	-10	2
353	-9	2
354	-8	2
355	-7	2
356	-6	2
357	-5	2
358	-4	2
359	-3	2
360	-2	2
361	-1	2
362	0	2
363	1	2
364	2	2
365	3	2
366	4	2
367	5	2
368	6	2
369	7	2
370	8	2
371	9	2
372	10	2
373	11	2
374	12	2
375	13	2
376	-13	3
377	-12	3
378	-11	3
379	-10	3
380	-9	3
381	-8	3
382	-7	3
383	-6	3
384	-5	3
385	-4	3
386	-3	3
387	-2	3
388	-1	3
389	0	3
390	1	3
391	2	3
392	3	3
393	4	3
394	5	3
395	6	3
396	7	3
397	8	3
398	9	3
399	10	3
