panel	square_geometry	temperature_disk	temperature_square	delta_temperature	abs_delta_temperature
Disk GCE to Square GCE	square_obc	0.010000000000	0.029788337020	0.019788337020	0.019788337020
Disk GCE to Square GCE	square_obc	0.010030768855	0.029875041501	0.019844272646	0.019844272646
Disk GCE to Square GCE	square_obc	0.010061632382	0.029961998351	0.019900365969	0.019900365969
Disk GCE to Square GCE	square_obc	0.010092590873	0.030049208306	0.019956617433	0.019956617433
Disk GCE to Square GCE	square_obc	0.010123644619	0.030135974185	0.020012329566	0.020012329566
Disk GCE to Square GCE	square_obc	0.010154793914	0.030222729851	0.020067935937	0.020067935937
Disk GCE to Square GCE	square_obc	0.010186039052	0.030309942118	0.020123903066	0.020123903066
Disk GCE to Square GCE	square_obc	0.010217380328	0.030399471945	0.020182091617	0.020182091617
Disk GCE to Square GCE	square_obc	0.010248818037	0.030488690859	0.020239872822	0.020239872822
Disk GCE to Square GCE	square_obc	0.010280352477	0.030578171620	0.020297819143	0.020297819143
Disk GCE to Square GCE	square_obc	0.010311983944	0.030667829203	0.020355845259	0.020355845259
Disk GCE to Square GCE	square_obc	0.010343712738	0.030756828360	0.020413115622	0.020413115622
Disk GCE to Square GCE	square_obc	0.010375539158	0.030846085795	0.020470546637	0.020470546637
Disk GCE to Square GCE	square_obc	0.010407463504	0.030935602259	0.020528138755	0.020528138755
Disk GCE to Square GCE	square_obc	0.010439486077	0.031024654922	0.020585168845	0.020585168845
Disk GCE to Square GCE	square_obc	0.010471607180	0.031113670827	0.020642063647	0.020642063647
Disk GCE to Square GCE	square_obc	0.010503827116	0.031202942136	0.020699115020	0.020699115020
Disk GCE to Square GCE	square_obc	0.010536146190	0.031293502039	0.020757355849	0.020757355849
Disk GCE to Square GCE	square_obc	0.010568564705	0.031385093201	0.020816528496	0.020816528496
Disk GCE to Square GCE	square_obc	0.010601082968	0.031476952436	0.020875869468	0.020875869468
Disk GCE to Square GCE	square_obc	0.010633701287	0.031569080529	0.020935379242	0.020935379242
Disk GCE to Square GCE	square_obc	0.010666419968	0.031660559600	0.020994139632	0.020994139632
Disk GCE to Square GCE	square_obc	0.010699239321	0.031752152932	0.021052913611	0.021052913611
Disk GCE to Square GCE	square_obc	0.010732159655	0.031844011243	0.021111851588	0.021111851588
Disk GCE to Square GCE	square_obc	0.010765181281	0.031935727855	0.021170546574	0.021170546574
Disk GCE to Square GCE	square_obc	0.010798304511	0.032027036175	0.021228731664	0.021228731664
Disk GCE to Square GCE	square_obc	0.010831529658	0.032118605558	0.021287075900	0.021287075900
Disk GCE to Square GCE	square_obc	0.010864857034	0.032210436749	0.021345579715	0.021345579715
Disk GCE to Square GCE	square_obc	0.010898286955	0.032303028589	0.021404741634	0.021404741634
Disk GCE to Square GCE	square_obc	0.010931819736	0.032397303526	0.021465483790	0.021465483790
Disk GCE to Square GCE	square_obc	0.010965455694	0.032491853600	0.021526397906	0.021526397906
Disk GCE to Square GCE	square_obc	0.010999195145	0.032586337290	0.021587142145	0.021587142145
Disk GCE to Square GCE	square_obc	0.011033038409	0.032680300445	0.021647262036	0.021647262036
