idx	U_label	U	beta	T	Ntot	Nup	Ndn	density	L8_reference_Ntot	L8_reference_density	mu_L8_reference	ce_method	gce_method	stage
0	Um5	-5.0	2.0	0.500000000000	12	6	6	0.333333333333	22	0.343750000000	-1.100238292371	QMC	QMC_mu_tuned_from_L8	interacting
1	Um5	-5.0	2.2	0.454545454545	12	6	6	0.333333333333	22	0.343750000000	-1.074035442859	QMC	QMC_mu_tuned_from_L8	interacting
2	Um5	-5.0	2.5	0.400000000000	12	6	6	0.333333333333	22	0.343750000000	-1.044521406192	QMC	QMC_mu_tuned_from_L8	interacting
3	Um5	-5.0	2.9	0.344827586207	12	6	6	0.333333333333	22	0.343750000000	-1.017674271571	QMC	QMC_mu_tuned_from_L8	interacting
4	Um5	-5.0	3.3	0.303030303030	12	6	6	0.333333333333	22	0.343750000000	-0.999308721898	QMC	QMC_mu_tuned_from_L8	interacting
5	Um5	-5.0	4.0	0.250000000000	12	6	6	0.333333333333	22	0.343750000000	-0.979311997108	QMC	QMC_mu_tuned_from_L8	interacting
6	Um5	-5.0	5.0	0.200000000000	12	6	6	0.333333333333	22	0.343750000000	-0.965448380035	QMC	QMC_mu_tuned_from_L8	interacting
7	Um5	-5.0	6.7	0.149253731343	12	6	6	0.333333333333	22	0.343750000000	-0.961905774706	QMC	QMC_mu_tuned_from_L8	interacting
8	Um5	-5.0	10.0	0.100000000000	12	6	6	0.333333333333	22	0.343750000000	-0.962119438542	QMC	QMC_mu_tuned_from_L8	interacting
9	Um5	-5.0	20.0	0.050000000000	12	6	6	0.333333333333	22	0.343750000000	-0.959652287530	QMC	QMC_mu_tuned_from_L8	interacting
10	Um5	-5.0	2.0	0.500000000000	18	9	9	0.500000000000	32	0.500000000000	-0.784441768957	QMC	QMC_mu_tuned_from_L8	interacting
11	Um5	-5.0	2.2	0.454545454545	18	9	9	0.500000000000	32	0.500000000000	-0.764002194788	QMC	QMC_mu_tuned_from_L8	interacting
12	Um5	-5.0	2.5	0.400000000000	18	9	9	0.500000000000	32	0.500000000000	-0.741092014715	QMC	QMC_mu_tuned_from_L8	interacting
13	Um5	-5.0	2.9	0.344827586207	18	9	9	0.500000000000	32	0.500000000000	-0.720134836299	QMC	QMC_mu_tuned_from_L8	interacting
14	Um5	-5.0	3.3	0.303030303030	18	9	9	0.500000000000	32	0.500000000000	-0.705852162058	QMC	QMC_mu_tuned_from_L8	interacting
15	Um5	-5.0	4.0	0.250000000000	18	9	9	0.500000000000	32	0.500000000000	-0.692002472583	QMC	QMC_mu_tuned_from_L8	interacting
16	Um5	-5.0	5.0	0.200000000000	18	9	9	0.500000000000	32	0.500000000000	-0.687412791970	QMC	QMC_mu_tuned_from_L8	interacting
17	Um5	-5.0	6.7	0.149253731343	18	9	9	0.500000000000	32	0.500000000000	-0.687498702279	QMC	QMC_mu_tuned_from_L8	interacting
18	Um5	-5.0	10.0	0.100000000000	18	9	9	0.500000000000	32	0.500000000000	-0.688767069484	QMC	QMC_mu_tuned_from_L8	interacting
19	Um5	-5.0	20.0	0.050000000000	18	9	9	0.500000000000	32	0.500000000000	-0.688283521957	QMC	QMC_mu_tuned_from_L8	interacting
20	Um5	-5.0	2.0	0.500000000000	26	13	13	0.722222222222	46	0.718750000000	-0.414854954262	QMC	QMC_mu_tuned_from_L8	interacting
21	Um5	-5.0	2.2	0.454545454545	26	13	13	0.722222222222	46	0.718750000000	-0.403129078052	QMC	QMC_mu_tuned_from_L8	interacting
22	Um5	-5.0	2.5	0.400000000000	26	13	13	0.722222222222	46	0.718750000000	-0.389565237587	QMC	QMC_mu_tuned_from_L8	interacting
23	Um5	-5.0	2.9	0.344827586207	26	13	13	0.722222222222	46	0.718750000000	-0.375839176292	QMC	QMC_mu_tuned_from_L8	interacting
24	Um5	-5.0	3.3	0.303030303030	26	13	13	0.722222222222	46	0.718750000000	-0.366593584863	QMC	QMC_mu_tuned_from_L8	interacting
25	Um5	-5.0	4.0	0.250000000000	26	13	13	0.722222222222	46	0.718750000000	-0.356865956269	QMC	QMC_mu_tuned_from_L8	interacting
26	Um5	-5.0	5.0	0.200000000000	26	13	13	0.722222222222	46	0.718750000000	-0.351101333972	QMC	QMC_mu_tuned_from_L8	interacting
27	Um5	-5.0	6.7	0.149253731343	26	13	13	0.722222222222	46	0.718750000000	-0.347327883510	QMC	QMC_mu_tuned_from_L8	interacting
28	Um5	-5.0	10.0	0.100000000000	26	13	13	0.722222222222	46	0.718750000000	-0.345549894879	QMC	QMC_mu_tuned_from_L8	interacting
29	Um5	-5.0	20.0	0.050000000000	26	13	13	0.722222222222	46	0.718750000000	-0.344567277786	QMC	QMC_mu_tuned_from_L8	interacting
30	Um5	-5.0	2.0	0.500000000000	32	16	16	0.888888888889	56	0.875000000000	-0.180081355595	QMC	QMC_mu_tuned_from_L8	interacting
31	Um5	-5.0	2.2	0.454545454545	32	16	16	0.888888888889	56	0.875000000000	-0.174202881087	QMC	QMC_mu_tuned_from_L8	interacting
32	Um5	-5.0	2.5	0.400000000000	32	16	16	0.888888888889	56	0.875000000000	-0.167684906130	QMC	QMC_mu_tuned_from_L8	interacting
33	Um5	-5.0	2.9	0.344827586207	32	16	16	0.888888888889	56	0.875000000000	-0.161908472110	QMC	QMC_mu_tuned_from_L8	interacting
34	Um5	-5.0	3.3	0.303030303030	32	16	16	0.888888888889	56	0.875000000000	-0.158261989608	QMC	QMC_mu_tuned_from_L8	interacting
35	Um5	-5.0	4.0	0.250000000000	32	16	16	0.888888888889	56	0.875000000000	-0.155480747118	QMC	QMC_mu_tuned_from_L8	interacting
36	Um5	-5.0	5.0	0.200000000000	32	16	16	0.888888888889	56	0.875000000000	-0.155802354362	QMC	QMC_mu_tuned_from_L8	interacting
37	Um5	-5.0	6.7	0.149253731343	32	16	16	0.888888888889	56	0.875000000000	-0.153611474076	QMC	QMC_mu_tuned_from_L8	interacting
38	Um5	-5.0	10.0	0.100000000000	32	16	16	0.888888888889	56	0.875000000000	-0.149735671866	QMC	QMC_mu_tuned_from_L8	interacting
39	Um5	-5.0	20.0	0.050000000000	32	16	16	0.888888888889	56	0.875000000000	-0.147709616209	QMC	QMC_mu_tuned_from_L8	interacting
40	Um3	-3.0	2.0	0.500000000000	12	6	6	0.333333333333	22	0.343750000000	-1.420448455508	QMC	QMC_mu_tuned_from_L8	interacting
41	Um3	-3.0	2.2	0.454545454545	12	6	6	0.333333333333	22	0.343750000000	-1.395313150327	QMC	QMC_mu_tuned_from_L8	interacting
42	Um3	-3.0	2.5	0.400000000000	12	6	6	0.333333333333	22	0.343750000000	-1.366618934393	QMC	QMC_mu_tuned_from_L8	interacting
43	Um3	-3.0	2.9	0.344827586207	12	6	6	0.333333333333	22	0.343750000000	-1.338065971776	QMC	QMC_mu_tuned_from_L8	interacting
44	Um3	-3.0	3.3	0.303030303030	12	6	6	0.333333333333	22	0.343750000000	-1.316371051805	QMC	QMC_mu_tuned_from_L8	interacting
45	Um3	-3.0	4.0	0.250000000000	12	6	6	0.333333333333	22	0.343750000000	-1.286724073715	QMC	QMC_mu_tuned_from_L8	interacting
46	Um3	-3.0	5.0	0.200000000000	12	6	6	0.333333333333	22	0.343750000000	-1.255785763873	QMC	QMC_mu_tuned_from_L8	interacting
