idx	U_label	U	beta	T	L6_Ntot_target	L6_target_density	L8_reference_Ntot	L8_reference_density	mu_L8_reference	source_manifests	source_out_parents	reference_status
0	Um5	-5.0	2.0	0.500000000000	12	0.333333333333	22	0.343750000000	-1.100238292371	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b2p0_T0p500000_mum1p100238	final_production
1	Um5	-5.0	2.2	0.454545454545	12	0.333333333333	22	0.343750000000	-1.074035442859	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b2p2_T0p454545_mum1p074035	final_production
2	Um5	-5.0	2.5	0.400000000000	12	0.333333333333	22	0.343750000000	-1.044521406192	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b2p5_T0p400000_mum1p044521	final_production
3	Um5	-5.0	2.9	0.344827586207	12	0.333333333333	22	0.343750000000	-1.017674271571	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b2p9_T0p344828_mum1p017674	final_production
4	Um5	-5.0	3.3	0.303030303030	12	0.333333333333	22	0.343750000000	-0.999308721898	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b3p3_T0p303030_mum0p999309	final_production
5	Um5	-5.0	4.0	0.250000000000	12	0.333333333333	22	0.343750000000	-0.979311997108	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b4p0_T0p250000_mum0p979312	final_production
6	Um5	-5.0	5.0	0.200000000000	12	0.333333333333	22	0.343750000000	-0.965448380035	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b5p0_T0p200000_mum0p965448	final_production
7	Um5	-5.0	6.7	0.149253731343	12	0.333333333333	22	0.343750000000	-0.961905774706	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/cnms/Ntot022_n0.343750_b6p7_T0p149254_mum0p961906	final_production
8	Um5	-5.0	10.0	0.100000000000	12	0.333333333333	22	0.343750000000	-0.962119438542	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/cnms/Ntot022_n0.343750_b10p0_T0p100000_mum0p962119	final_production
9	Um5	-5.0	20.0	0.050000000000	12	0.333333333333	22	0.343750000000	-0.959652287530	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/cnms/Ntot022_n0.343750_b20p0_T0p050000_mum0p959652	final_production
10	Um5	-5.0	2.0	0.500000000000	18	0.500000000000	32	0.500000000000	-0.784441768957	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N32_beta_grid_20260710/ccsd/Ntot032_n0.500000_b2p0_T0p500000_mum0p784442	final_production
