idx	stage	U_label	U	beta	target_T	actual_T	Ltau	Ntot	Nup	Ndn	density	account	job_tag	outdir	seed	nwarmups	max_batches	batch_nsamples	measure_interval	cluster_size	Lx	Ly	dtau	expected_ranks	phase_reweighted	force_symmetry
0	attractive	Um5	-5.0	2.0	0.500000000000	0.500000000000	20	12	6	6	0.333333333333	ccsd	ceL6Um5N12b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot012_n0.333333_b2p0_T0.500000_Nup006_Ndn006_r32_w5000_m50000_seed1907190000	1907190000	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
1	attractive	Um5	-5.0	2.2	0.454545454545	0.454545454545	22	12	6	6	0.333333333333	ccsd	ceL6Um5N12b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot012_n0.333333_b2p2_T0.454545_Nup006_Ndn006_r32_w5000_m50000_seed1907190001	1907190001	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
2	attractive	Um5	-5.0	2.5	0.400000000000	0.400000000000	25	12	6	6	0.333333333333	ccsd	ceL6Um5N12b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot012_n0.333333_b2p5_T0.400000_Nup006_Ndn006_r32_w5000_m50000_seed1907190002	1907190002	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
3	attractive	Um5	-5.0	2.9	0.344827586207	0.344827586207	29	12	6	6	0.333333333333	ccsd	ceL6Um5N12b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot012_n0.333333_b2p9_T0.344828_Nup006_Ndn006_r32_w5000_m50000_seed1907190003	1907190003	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
4	attractive	Um5	-5.0	3.3	0.303030303030	0.303030303030	33	12	6	6	0.333333333333	ccsd	ceL6Um5N12b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot012_n0.333333_b3p3_T0.303030_Nup006_Ndn006_r32_w5000_m50000_seed1907190004	1907190004	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
5	attractive	Um5	-5.0	4.0	0.250000000000	0.250000000000	40	12	6	6	0.333333333333	ccsd	ceL6Um5N12b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot012_n0.333333_b4p0_T0.250000_Nup006_Ndn006_r32_w5000_m50000_seed1907190005	1907190005	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
6	attractive	Um5	-5.0	5.0	0.200000000000	0.200000000000	50	12	6	6	0.333333333333	ccsd	ceL6Um5N12b5p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot012_n0.333333_b5p0_T0.200000_Nup006_Ndn006_r32_w5000_m50000_seed1907190006	1907190006	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
7	attractive	Um5	-5.0	6.7	0.149253731343	0.149253731343	67	12	6	6	0.333333333333	ccsd	ceL6Um5N12b6p7	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot012_n0.333333_b6p7_T0.149254_Nup006_Ndn006_r32_w5000_m50000_seed1907190007	1907190007	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
8	attractive	Um5	-5.0	10.0	0.100000000000	0.100000000000	100	12	6	6	0.333333333333	ccsd	ceL6Um5N12b10p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot012_n0.333333_b10p0_T0.100000_Nup006_Ndn006_r32_w5000_m50000_seed1907190008	1907190008	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
9	attractive	Um5	-5.0	2.0	0.500000000000	0.500000000000	20	18	9	9	0.500000000000	ccsd	ceL6Um5N18b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot018_n0.500000_b2p0_T0.500000_Nup009_Ndn009_r32_w5000_m50000_seed1907190009	1907190009	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
