idx	stage	U_label	U	beta	target_T	actual_T	Ltau	Ntot	Nup	Ndn	density	account	job_tag	outdir	seed	nwarmups	max_batches	batch_nsamples	measure_interval	cluster_size	Lx	Ly	dtau	expected_ranks	phase_reweighted	force_symmetry
0	positive_lowbeta	Up3	3.0	2.0	0.500000000000	0.500000000000	20	12	6	6	0.333333333333	ccsd	ceL6Up3N12b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot012_n0.333333_b2p0_T0.500000_Nup006_Ndn006_r32_w5000_m50000_seed1907191000	1907191000	5000	50000	1	3	36	6	6	0.1	32	true	false
1	positive_lowbeta	Up3	3.0	2.2	0.454545454545	0.454545454545	22	12	6	6	0.333333333333	ccsd	ceL6Up3N12b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot012_n0.333333_b2p2_T0.454545_Nup006_Ndn006_r32_w5000_m50000_seed1907191001	1907191001	5000	50000	1	3	36	6	6	0.1	32	true	false
2	positive_lowbeta	Up3	3.0	2.5	0.400000000000	0.400000000000	25	12	6	6	0.333333333333	ccsd	ceL6Up3N12b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot012_n0.333333_b2p5_T0.400000_Nup006_Ndn006_r32_w5000_m50000_seed1907191002	1907191002	5000	50000	1	3	36	6	6	0.1	32	true	false
3	positive_lowbeta	Up3	3.0	2.9	0.344827586207	0.344827586207	29	12	6	6	0.333333333333	ccsd	ceL6Up3N12b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot012_n0.333333_b2p9_T0.344828_Nup006_Ndn006_r32_w5000_m50000_seed1907191003	1907191003	5000	50000	1	3	36	6	6	0.1	32	true	false
4	positive_lowbeta	Up3	3.0	3.3	0.303030303030	0.303030303030	33	12	6	6	0.333333333333	ccsd	ceL6Up3N12b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot012_n0.333333_b3p3_T0.303030_Nup006_Ndn006_r32_w5000_m50000_seed1907191004	1907191004	5000	50000	1	3	36	6	6	0.1	32	true	false
5	positive_lowbeta	Up3	3.0	4.0	0.250000000000	0.250000000000	40	12	6	6	0.333333333333	ccsd	ceL6Up3N12b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot012_n0.333333_b4p0_T0.250000_Nup006_Ndn006_r32_w5000_m50000_seed1907191005	1907191005	5000	50000	1	3	36	6	6	0.1	32	true	false
6	positive_lowbeta	Up3	3.0	2.0	0.500000000000	0.500000000000	20	18	9	9	0.500000000000	ccsd	ceL6Up3N18b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot018_n0.500000_b2p0_T0.500000_Nup009_Ndn009_r32_w5000_m50000_seed1907191006	1907191006	5000	50000	1	3	36	6	6	0.1	32	true	false
7	positive_lowbeta	Up3	3.0	2.2	0.454545454545	0.454545454545	22	18	9	9	0.500000000000	ccsd	ceL6Up3N18b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot018_n0.500000_b2p2_T0.454545_Nup009_Ndn009_r32_w5000_m50000_seed1907191007	1907191007	5000	50000	1	3	36	6	6	0.1	32	true	false
8	positive_lowbeta	Up3	3.0	2.5	0.400000000000	0.400000000000	25	18	9	9	0.500000000000	ccsd	ceL6Up3N18b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot018_n0.500000_b2p5_T0.400000_Nup009_Ndn009_r32_w5000_m50000_seed1907191008	1907191008	5000	50000	1	3	36	6	6	0.1	32	true	false
9	positive_lowbeta	Up3	3.0	2.9	0.344827586207	0.344827586207	29	18	9	9	0.500000000000	ccsd	ceL6Up3N18b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot018_n0.500000_b2p9_T0.344828_Nup009_Ndn009_r32_w5000_m50000_seed1907191009	1907191009	5000	50000	1	3	36	6	6	0.1	32	true	false
