idx	stage	U_label	U	beta	target_T	actual_T	Ltau	Ntot	Nup	Ndn	density	account	job_tag	outdir	seed	nwarmups	max_batches	batch_nsamples	measure_interval	cluster_size	Lx	Ly	dtau	expected_ranks	phase_reweighted	force_symmetry
0	positive_pilot	Up3	3.0	5.0	0.200000000000	0.200000000000	50	12	6	6	0.333333333333	ccsd	ceL6Up3N12b5p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot012_n0.333333_b5p0_T0.200000_Nup006_Ndn006_r32_w2000_m10000_seed1907192000	1907192000	2000	10000	1	3	36	6	6	0.1	32	true	false
1	positive_pilot	Up3	3.0	6.7	0.149253731343	0.149253731343	67	12	6	6	0.333333333333	ccsd	ceL6Up3N12b6p7Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot012_n0.333333_b6p7_T0.149254_Nup006_Ndn006_r32_w2000_m10000_seed1907192001	1907192001	2000	10000	1	3	36	6	6	0.1	32	true	false
2	positive_pilot	Up3	3.0	10.0	0.100000000000	0.100000000000	100	12	6	6	0.333333333333	ccsd	ceL6Up3N12b10p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot012_n0.333333_b10p0_T0.100000_Nup006_Ndn006_r32_w2000_m10000_seed1907192002	1907192002	2000	10000	1	3	36	6	6	0.1	32	true	false
3	positive_pilot	Up3	3.0	5.0	0.200000000000	0.200000000000	50	18	9	9	0.500000000000	ccsd	ceL6Up3N18b5p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot018_n0.500000_b5p0_T0.200000_Nup009_Ndn009_r32_w2000_m10000_seed1907192003	1907192003	2000	10000	1	3	36	6	6	0.1	32	true	false
4	positive_pilot	Up3	3.0	6.7	0.149253731343	0.149253731343	67	18	9	9	0.500000000000	ccsd	ceL6Up3N18b6p7Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot018_n0.500000_b6p7_T0.149254_Nup009_Ndn009_r32_w2000_m10000_seed1907192004	1907192004	2000	10000	1	3	36	6	6	0.1	32	true	false
5	positive_pilot	Up3	3.0	10.0	0.100000000000	0.100000000000	100	18	9	9	0.500000000000	ccsd	ceL6Up3N18b10p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot018_n0.500000_b10p0_T0.100000_Nup009_Ndn009_r32_w2000_m10000_seed1907192005	1907192005	2000	10000	1	3	36	6	6	0.1	32	true	false
6	positive_pilot	Up3	3.0	5.0	0.200000000000	0.200000000000	50	26	13	13	0.722222222222	ccsd	ceL6Up3N26b5p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot026_n0.722222_b5p0_T0.200000_Nup013_Ndn013_r32_w2000_m10000_seed1907192006	1907192006	2000	10000	1	3	36	6	6	0.1	32	true	false
7	positive_pilot	Up3	3.0	6.7	0.149253731343	0.149253731343	67	26	13	13	0.722222222222	ccsd	ceL6Up3N26b6p7Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot026_n0.722222_b6p7_T0.149254_Nup013_Ndn013_r32_w2000_m10000_seed1907192007	1907192007	2000	10000	1	3	36	6	6	0.1	32	true	false
8	positive_pilot	Up3	3.0	10.0	0.100000000000	0.100000000000	100	26	13	13	0.722222222222	ccsd	ceL6Up3N26b10p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot026_n0.722222_b10p0_T0.100000_Nup013_Ndn013_r32_w2000_m10000_seed1907192008	1907192008	2000	10000	1	3	36	6	6	0.1	32	true	false
9	positive_pilot	Up3	3.0	5.0	0.200000000000	0.200000000000	50	32	16	16	0.888888888889	ccsd	ceL6Up3N32b5p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up3/Ntot032_n0.888889_b5p0_T0.200000_Nup016_Ndn016_r32_w2000_m10000_seed1907192009	1907192009	2000	10000	1	3	36	6	6	0.1	32	true	false
