idx	U_label	U	Ntot_target	target_density	beta	T	mu_L8_reference	L8_reference_Ntot	L8_reference_density	mu_probe	mu_label	probe_offset	probe_role	Lx	Ly	dtau	ntherm	nmeasurements	nbins	nupdates	account	out_parent	sid	seed	target_key	tuning_status	source_manifests	job_tag
0	Um5	-5.0	12	0.333333333333	2.0	0.500000000000	-1.100238292371	22	0.343750000000	-1.120238292371	m1p120238	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p0_mum1p120238_minus_0p02	916000000	1907193000	Um5_L6_N012_b2p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p0minus_0p02
1	Um5	-5.0	12	0.333333333333	2.0	0.500000000000	-1.100238292371	22	0.343750000000	-1.100238292371	m1p100238	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p0_mum1p100238_center	916000001	1907193001	Um5_L6_N012_b2p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p0center
2	Um5	-5.0	12	0.333333333333	2.0	0.500000000000	-1.100238292371	22	0.343750000000	-1.080238292371	m1p080238	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p0_mum1p080238_plus_0p02	916000002	1907193002	Um5_L6_N012_b2p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p0plus_0p02
3	Um5	-5.0	12	0.333333333333	2.2	0.454545454545	-1.074035442859	22	0.343750000000	-1.094035442859	m1p094035	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p2_mum1p094035_minus_0p02	916000003	1907193003	Um5_L6_N012_b2p2	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p2minus_0p02
4	Um5	-5.0	12	0.333333333333	2.2	0.454545454545	-1.074035442859	22	0.343750000000	-1.074035442859	m1p074035	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p2_mum1p074035_center	916000004	1907193004	Um5_L6_N012_b2p2	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p2center
5	Um5	-5.0	12	0.333333333333	2.2	0.454545454545	-1.074035442859	22	0.343750000000	-1.054035442859	m1p054035	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p2_mum1p054035_plus_0p02	916000005	1907193005	Um5_L6_N012_b2p2	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p2plus_0p02
6	Um5	-5.0	12	0.333333333333	2.5	0.400000000000	-1.044521406192	22	0.343750000000	-1.064521406192	m1p064521	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p5_mum1p064521_minus_0p02	916000006	1907193006	Um5_L6_N012_b2p5	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p5minus_0p02
7	Um5	-5.0	12	0.333333333333	2.5	0.400000000000	-1.044521406192	22	0.343750000000	-1.044521406192	m1p044521	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p5_mum1p044521_center	916000007	1907193007	Um5_L6_N012_b2p5	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p5center
8	Um5	-5.0	12	0.333333333333	2.5	0.400000000000	-1.044521406192	22	0.343750000000	-1.024521406192	m1p024521	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p5_mum1p024521_plus_0p02	916000008	1907193008	Um5_L6_N012_b2p5	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p5plus_0p02
9	Um5	-5.0	12	0.333333333333	2.9	0.344827586207	-1.017674271571	22	0.343750000000	-1.037674271571	m1p037674	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p9_mum1p037674_minus_0p02	916000009	1907193009	Um5_L6_N012_b2p9	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p9minus_0p02
10	Um5	-5.0	12	0.333333333333	2.9	0.344827586207	-1.017674271571	22	0.343750000000	-1.017674271571	m1p017674	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p9_mum1p017674_center	916000010	1907193010	Um5_L6_N012_b2p9	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p9center
11	Um5	-5.0	12	0.333333333333	2.9	0.344827586207	-1.017674271571	22	0.343750000000	-0.997674271571	m0p997674	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b2p9_mum0p997674_plus_0p02	916000011	1907193011	Um5_L6_N012_b2p9	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b2p9plus_0p02
12	Um5	-5.0	12	0.333333333333	3.3	0.303030303030	-0.999308721898	22	0.343750000000	-1.019308721898	m1p019309	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b3p3_mum1p019309_minus_0p02	916000012	1907193012	Um5_L6_N012_b3p3	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b3p3minus_0p02
13	Um5	-5.0	12	0.333333333333	3.3	0.303030303030	-0.999308721898	22	0.343750000000	-0.999308721898	m0p999309	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b3p3_mum0p999309_center	916000013	1907193013	Um5_L6_N012_b3p3	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b3p3center
14	Um5	-5.0	12	0.333333333333	3.3	0.303030303030	-0.999308721898	22	0.343750000000	-0.979308721898	m0p979309	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b3p3_mum0p979309_plus_0p02	916000014	1907193014	Um5_L6_N012_b3p3	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b3p3plus_0p02
15	Um5	-5.0	12	0.333333333333	4.0	0.250000000000	-0.979311997108	22	0.343750000000	-0.999311997108	m0p999312	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b4p0_mum0p999312_minus_0p02	916000015	1907193015	Um5_L6_N012_b4p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b4p0minus_0p02
16	Um5	-5.0	12	0.333333333333	4.0	0.250000000000	-0.979311997108	22	0.343750000000	-0.979311997108	m0p979312	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b4p0_mum0p979312_center	916000016	1907193016	Um5_L6_N012_b4p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b4p0center
