idx	U_label	U	Ntot_target	target_density	beta	T	mu_L8_reference	L8_reference_Ntot	L8_reference_density	mu_probe	mu_label	probe_offset	probe_role	Lx	Ly	dtau	ntherm	nmeasurements	nbins	nupdates	account	out_parent	sid	seed	target_key	tuning_status	source_manifests	job_tag
0	Up3	3.0	12	0.333333333333	2.0	0.500000000000	-3.346644605949	22	0.343750000000	-3.366644605949	m3p366645	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p0_mum3p366645_minus_0p02	917000000	1907194000	Up3_L6_N012_b2p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p0minus_0p02
1	Up3	3.0	12	0.333333333333	2.0	0.500000000000	-3.346644605949	22	0.343750000000	-3.346644605949	m3p346645	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p0_mum3p346645_center	917000001	1907194001	Up3_L6_N012_b2p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p0center
2	Up3	3.0	12	0.333333333333	2.0	0.500000000000	-3.346644605949	22	0.343750000000	-3.326644605949	m3p326645	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p0_mum3p326645_plus_0p02	917000002	1907194002	Up3_L6_N012_b2p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p0plus_0p02
3	Up3	3.0	12	0.333333333333	2.2	0.454545454545	-3.320419018164	22	0.343750000000	-3.340419018164	m3p340419	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p2_mum3p340419_minus_0p02	917000003	1907194003	Up3_L6_N012_b2p2	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p2minus_0p02
4	Up3	3.0	12	0.333333333333	2.2	0.454545454545	-3.320419018164	22	0.343750000000	-3.320419018164	m3p320419	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p2_mum3p320419_center	917000004	1907194004	Up3_L6_N012_b2p2	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p2center
5	Up3	3.0	12	0.333333333333	2.2	0.454545454545	-3.320419018164	22	0.343750000000	-3.300419018164	m3p300419	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p2_mum3p300419_plus_0p02	917000005	1907194005	Up3_L6_N012_b2p2	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p2plus_0p02
6	Up3	3.0	12	0.333333333333	2.5	0.400000000000	-3.291316966763	22	0.343750000000	-3.311316966763	m3p311317	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p5_mum3p311317_minus_0p02	917000006	1907194006	Up3_L6_N012_b2p5	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p5minus_0p02
7	Up3	3.0	12	0.333333333333	2.5	0.400000000000	-3.291316966763	22	0.343750000000	-3.291316966763	m3p291317	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p5_mum3p291317_center	917000007	1907194007	Up3_L6_N012_b2p5	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p5center
8	Up3	3.0	12	0.333333333333	2.5	0.400000000000	-3.291316966763	22	0.343750000000	-3.271316966763	m3p271317	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p5_mum3p271317_plus_0p02	917000008	1907194008	Up3_L6_N012_b2p5	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p5plus_0p02
9	Up3	3.0	12	0.333333333333	2.9	0.344827586207	-3.262404853663	22	0.343750000000	-3.282404853663	m3p282405	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p9_mum3p282405_minus_0p02	917000009	1907194009	Up3_L6_N012_b2p9	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p9minus_0p02
10	Up3	3.0	12	0.333333333333	2.9	0.344827586207	-3.262404853663	22	0.343750000000	-3.262404853663	m3p262405	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p9_mum3p262405_center	917000010	1907194010	Up3_L6_N012_b2p9	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p9center
11	Up3	3.0	12	0.333333333333	2.9	0.344827586207	-3.262404853663	22	0.343750000000	-3.242404853663	m3p242405	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b2p9_mum3p242405_plus_0p02	917000011	1907194011	Up3_L6_N012_b2p9	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b2p9plus_0p02
12	Up3	3.0	12	0.333333333333	3.3	0.303030303030	-3.239100333987	22	0.343750000000	-3.259100333987	m3p259100	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b3p3_mum3p259100_minus_0p02	917000012	1907194012	Up3_L6_N012_b3p3	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b3p3minus_0p02
13	Up3	3.0	12	0.333333333333	3.3	0.303030303030	-3.239100333987	22	0.343750000000	-3.239100333987	m3p239100	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b3p3_mum3p239100_center	917000013	1907194013	Up3_L6_N012_b3p3	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b3p3center
14	Up3	3.0	12	0.333333333333	3.3	0.303030303030	-3.239100333987	22	0.343750000000	-3.219100333987	m3p219100	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b3p3_mum3p219100_plus_0p02	917000014	1907194014	Up3_L6_N012_b3p3	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b3p3plus_0p02
15	Up3	3.0	12	0.333333333333	4.0	0.250000000000	-3.207438804261	22	0.343750000000	-3.227438804261	m3p227439	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b4p0_mum3p227439_minus_0p02	917000015	1907194015	Up3_L6_N012_b4p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b4p0minus_0p02
16	Up3	3.0	12	0.333333333333	4.0	0.250000000000	-3.207438804261	22	0.343750000000	-3.207438804261	m3p207439	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b4p0_mum3p207439_center	917000016	1907194016	Up3_L6_N012_b4p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b4p0center
17	Up3	3.0	12	0.333333333333	4.0	0.250000000000	-3.207438804261	22	0.343750000000	-3.187438804261	m3p187439	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b4p0_mum3p187439_plus_0p02	917000017	1907194017	Up3_L6_N012_b4p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b4p0plus_0p02
18	Up3	3.0	12	0.333333333333	5.0	0.200000000000	-3.174163223267	22	0.343750000000	-3.194163223267	m3p194163	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b5p0_mum3p194163_minus_0p02	917000018	1907194018	Up3_L6_N012_b5p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b5p0minus_0p02
19	Up3	3.0	12	0.333333333333	5.0	0.200000000000	-3.174163223267	22	0.343750000000	-3.174163223267	m3p174163	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/spinHS/Up3/Ntot012_n0.333333_b5p0_mum3p174163_center	917000019	1907194019	Up3_L6_N012_b5p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Up3_three_density_beta20_20260713_manifests_gce_prod_L8_Up3_spinHS_20260713_all.tsv	muL6Up3N12b5p0center
